;;;;;;;;;;;
Listado de Precios ;;;;;;;;;;;
;;;;;;;;;;;
Cliente: Sin Establecer;;;;;;;;;;;
;;;;;;;;;;;
Tipo Cliente: Sin Establecer;;;;;;;;;;;
;;;;;;;;;;;
;;;% Comunes;;;Precios Originales;;;Precios con Descuentos;;
Cod Art.;descripcion;U.V.;%I.V.A.;%S.Lis;%Bonif;N.G.;I.V.A;Final;N.G;I.V.A;Final
2020           ;Nazareno Pinot Noir Reinero;GENERICA;21,00;;;8.181,82;1.718,18;9.900,00;8.181,82;1.718,18;9.900,00
2510           ;Saurus Malbec;GENERICA;21,00;;;6.738,84;1.415,16;8.154,00;6.738,84;1.415,16;8.154,00
9408           ;Carinae Harmonie Syrah;GENERICA;21,00;;;888,43;186,57;1.075,00;888,43;186,57;1.075,00
4017           ;Sombrero Blend;GENERICA;21,00;;;611,57;128,43;740,00;611,57;128,43;740,00
6370           ;Durigutti Pie de Monte Las Jarillas;GENERICA;21,00;;;12.495,87;2.624,13;15.120,00;12.495,87;2.624,13;15.120,00
1022           ;Colome Lote Especial Syrah;GENERICA;21,00;;;181,82;38,18;220,00;181,82;38,18;220,00
4717           ;505 Esencia Red Blend;GENERICA;21,00;;;161,16;33,84;195,00;161,16;33,84;195,00
9109           ;Bad Brother Facón Bonarda A. Lanús;GENERICA;21,00;;;44.462,81;9.337,19;53.800,00;44.462,81;9.337,19;53.800,00
616            ;Dv Catena Cab Mal;GENERICA;21,00;;;305,79;64,21;370,00;305,79;64,21;370,00
6102           ;Riccitelli Vineyard Selection Malbec;GENERICA;21,00;;;247,93;52,07;300,00;247,93;52,07;300,00
9907           ;Trapezio Vs Pinot Noir;GENERICA;21,00;;;785,12;164,88;950,00;785,12;164,88;950,00
70015          ;Pont L'Evec Roble Cabernet Sauvignon;GENERICA;21,00;;;429,75;90,25;520,00;429,75;90,25;520,00
6949           ;Matias Morcos Bonarda;GENERICA;21,00;;;702,48;147,52;850,00;702,48;147,52;850,00
8015           ;Secreto Cabernet Sauvignon;GENERICA;21,00;;;137,19;28,81;166,00;137,19;28,81;166,00
AÑ65051        ;Joffre Premium Merlot 2006;GENERICA;21,00;;;5.785,12;1.214,88;7.000,00;5.785,12;1.214,88;7.000,00
2010           ;Misterio Malbec;GENERICA;21,00;;;5.702,48;1.197,52;6.900,00;5.702,48;1.197,52;6.900,00
MR010          ;Uno Platinum Malbec Antigal;GENERICA;21,00;;;22.975,21;4.824,79;27.800,00;22.975,21;4.824,79;27.800,00
2411           ;Finca Las Moras Bonarda;GENERICA;21,00;;;20,66;4,34;25,00;20,66;4,34;25,00
3958           ;Tucumen Zinfanel;GENERICA;21,00;;;8.090,91;1.699,09;9.790,00;8.090,91;1.699,09;9.790,00
9802           ;A.E.T.L G.S.M Niven;GENERICA;21,00;;;4.462,81;937,19;5.400,00;4.462,81;937,19;5.400,00
6371           ;Durigutti Pie de Monte Ruano;GENERICA;21,00;;;12.495,87;2.624,13;15.120,00;12.495,87;2.624,13;15.120,00
2519           ;H. J. Fabre Reserva Malbec Merlot;GENERICA;21,00;;;644,63;135,37;780,00;644,63;135,37;780,00
URQ01          ;Palo Santo Malbec Urqo;GENERICA;21,00;;;12.975,21;2.724,79;15.700,00;12.975,21;2.724,79;15.700,00
1640           ;Sta Julia Innovación Arinarnoa;GENERICA;21,00;;;157,03;32,98;190,00;157,03;32,98;190,00
2755           ;Wapisa Pinot Noir;GENERICA;21,00;;;17.190,08;3.609,92;20.800,00;17.190,08;3.609,92;20.800,00
5201           ;Latente Pinot Noir Cuarto Surco;GENERICA;21,00;;;11.487,60;2.412,40;13.900,00;11.487,60;2.412,40;13.900,00
2771           ;De Moño Rojo GSM;GENERICA;21,00;;;429,75;90,25;520,00;429,75;90,25;520,00
3727           ;Nieto Senet.  Malbec;GENERICA;21,00;;;42,98;9,02;52,00;42,98;9,02;52,00
1004           ;Altus Reserva Malbec;GENERICA;21,00;;;13.223,14;2.776,86;16.000,00;13.223,14;2.776,86;16.000,00
9202           ;Los Haroldos Estate Malbec;GENERICA;21,00;;;206,61;43,39;250,00;206,61;43,39;250,00
5656           ;Felino Malbec Magnun;GENERICA;21,00;;;661,16;138,84;800,00;661,16;138,84;800,00
106            ;Juan Benegas;GENERICA;21,00;;;1.446,28;303,72;1.750,00;1.446,28;303,72;1.750,00
2433           ;Imago Cabernet Sauvignon;GENERICA;21,00;;;42,98;9,02;52,00;42,98;9,02;52,00
4209           ;Santa Celina Luron Export;GENERICA;21,00;;;4.793,39;1.006,61;5.800,00;4.793,39;1.006,61;5.800,00
4752           ;Bib Partridge Malbec Las Perdices;GENERICA;21,00;;;24.735,54;5.194,46;29.930,00;24.735,54;5.194,46;29.930,00
4958           ;Finca La Igriega Blend;GENERICA;21,00;;;12.396,69;2.603,31;15.000,00;12.396,69;2.603,31;15.000,00
8417           ;Luca Malbec;GENERICA;21,00;;;1.355,37;284,63;1.640,00;1.355,37;284,63;1.640,00
6407           ;Iaccarini Via Blanca Bonarda;GENERICA;21,00;;;9.669,42;2.030,58;11.700,00;9.669,42;2.030,58;11.700,00
7008           ;Ruca Malec Petit Verdot;GENERICA;21,00;;;144,63;30,37;175,00;144,63;30,37;175,00
141            ;Benegas Sv Syrah;GENERICA;21,00;;;6.231,41;1.308,60;7.540,00;6.231,41;1.308,60;7.540,00
3502           ;Desbandado Cabernet Franc Kaiken;GENERICA;21,00;;;17.685,95;3.714,05;21.400,00;17.685,95;3.714,05;21.400,00
7710           ;Tomero Malbec Vistalba;GENERICA;21,00;;;2.388,43;501,57;2.890,00;2.388,43;501,57;2.890,00
12007          ;Trivento Private Cabernet Sauvignon;GENERICA;21,00;;;9.090,91;1.909,09;11.000,00;9.090,91;1.909,09;11.000,00
1502           ;Esmeralda Fernandez Cabernet Sauvginon;GENERICA;21,00;;;73,55;15,45;89,00;73,55;15,45;89,00
6504           ;Joffré Premium Cabernet Sauvignon;GENERICA;21,00;;;30.743,80;6.456,20;37.200,00;30.743,80;6.456,20;37.200,00
7327           ;Banda 3 Sucios Cabernet Franc;GENERICA;21,00;;;409,09;85,91;495,00;409,09;85,91;495,00
107            ;Mandala Rosé Lata Cruz de Piedra;GENERICA;21,00;;;743,80;156,20;900,00;743,80;156,20;900,00
1333           ;Stella Crinita Cabernet Franc;GENERICA;21,00;;;5.528,93;1.161,07;6.690,00;5.528,93;1.161,07;6.690,00
7404           ;Venerable Tempranillo;GENERICA;21,00;;;78,51;16,49;95,00;78,51;16,49;95,00
142            ;Benegas Sv Pinot Noir;GENERICA;21,00;;;6.231,41;1.308,60;7.540,00;6.231,41;1.308,60;7.540,00
AÑ4911         ;Finca La Escuela 2012;GENERICA;21,00;;;1.487,60;312,40;1.800,00;1.487,60;312,40;1.800,00
8330           ;Seclantas Adentro Malbec;GENERICA;21,00;;;818,18;171,82;990,00;818,18;171,82;990,00
926            ;Septima 10 BarricasCabernet Sauvignon;GENERICA;21,00;;;1.330,58;279,42;1.610,00;1.330,58;279,42;1.610,00
12029          ;Cono Sur Pinot Noir;GENERICA;21,00;;;19.834,71;4.165,29;24.000,00;19.834,71;4.165,29;24.000,00
6380           ;Fuego Blanco Cf-Mb;GENERICA;21,00;;;16.107,44;3.382,56;19.490,00;16.107,44;3.382,56;19.490,00
11806          ;Ricominciare Cabernet Franc;GENERICA;21,00;;;13.520,66;2.839,34;16.360,00;13.520,66;2.839,34;16.360,00
4931           ;Tinto Negro El Limo;GENERICA;21,00;;;1.636,36;343,64;1.980,00;1.636,36;343,64;1.980,00
6512           ;Pasion 4 Merlot Joffré;GENERICA;21,00;;;11.818,18;2.481,82;14.300,00;11.818,18;2.481,82;14.300,00
5210           ;Pleno Malbec Cuarto Surco;GENERICA;21,00;;;14.793,39;3.106,61;17.900,00;14.793,39;3.106,61;17.900,00
