;;;;;;;;;;;
Listado de Precios ;;;;;;;;;;;
;;;;;;;;;;;
Cliente: Sin Establecer;;;;;;;;;;;
;;;;;;;;;;;
Tipo Cliente: Sin Establecer;;;;;;;;;;;
;;;;;;;;;;;
;;;% Comunes;;;Precios Originales;;;Precios con Descuentos;;
Cod Art.;descripcion;U.V.;%I.V.A.;%S.Lis;%Bonif;N.G.;I.V.A;Final;N.G;I.V.A;Final
6955           ;Sposato Bonarda;GENERICA;21,00;;;197,52;41,48;239,00;197,52;41,48;239,00
9              ;Naiara;GENERICA;21,00;;;70,25;14,75;85,00;70,25;14,75;85,00
2944           ;Corral de Palos Syrah;GENERICA;21,00;;;13.223,14;2.776,86;16.000,00;13.223,14;2.776,86;16.000,00
2806           ;Cuvelier Cabernet Sauvignon;GENERICA;21,00;;;421,49;88,51;510,00;421,49;88,51;510,00
AÑ4902         ;El Sensasional Equilibrista 2010;GENERICA;21,00;;;1.487,60;312,40;1.800,00;1.487,60;312,40;1.800,00
2012           ;Expresiones Cab. Malbec;GENERICA;21,00;;;90,08;18,92;109,00;90,08;18,92;109,00
917            ;Septima Gran Reserva;GENERICA;21,00;;;644,63;135,37;780,00;644,63;135,37;780,00
4224           ;Tierra Del Fuego Malbec;GENERICA;21,00;;;702,48;147,52;850,00;702,48;147,52;850,00
MR009          ;Uno Platinum Cabernet Franc Antigal;GENERICA;21,00;;;22.975,21;4.824,79;27.800,00;22.975,21;4.824,79;27.800,00
145            ;Finca Los Turcos Malbec;GENERICA;21,00;;;4.958,68;1.041,32;6.000,00;4.958,68;1.041,32;6.000,00
3906           ;Aguma Tannat;GENERICA;21,00;;;70,25;14,75;85,00;70,25;14,75;85,00
1252           ;Cinco Sentidos Special Blend Mal-Cab;GENERICA;21,00;;;991,74;208,26;1.200,00;991,74;208,26;1.200,00
DW14           ;Kamala Cabernet Franc;GENERICA;21,00;;;11.322,31;2.377,69;13.700,00;11.322,31;2.377,69;13.700,00
3505           ;Viniterra Malbec;GENERICA;21,00;;;107,44;22,56;130,00;107,44;22,56;130,00
6358           ;Miras Jovem Pinot Noir;GENERICA;21,00;;;1.198,35;251,65;1.450,00;1.198,35;251,65;1.450,00
3952           ;Tucumen Cabernet Sauvignon;GENERICA;21,00;;;7.727,27;1.622,73;9.350,00;7.727,27;1.622,73;9.350,00
6501           ;Rj Malbec Joffré;GENERICA;21,00;;;59.504,13;12.495,87;72.000,00;59.504,13;12.495,87;72.000,00
3951           ;Tucumen Reserva Malbec;GENERICA;21,00;;;8.090,91;1.699,09;9.790,00;8.090,91;1.699,09;9.790,00
7039           ;Lorca Bib Malbec 3 Litros;GENERICA;21,00;;;2.032,23;426,77;2.459,00;2.032,23;426,77;2.459,00
3911           ;Aguma Reserva Cabernet Sauvignon;GENERICA;21,00;;;64,46;13,54;78,00;64,46;13,54;78,00
2303           ;La Celia Reserva Malbec;GENERICA;21,00;;;4.570,25;959,75;5.530,00;4.570,25;959,75;5.530,00
6302           ;Lamadrid Reserva Malbec;GENERICA;21,00;;;16.363,64;3.436,36;19.800,00;16.363,64;3.436,36;19.800,00
4715           ;Rama Negra Cabernet Sauvignon;GENERICA;21,00;;;90,91;19,09;110,00;90,91;19,09;110,00
620            ;Saint Felicien Cabernet Franc;GENERICA;21,00;;;384,30;80,70;465,00;384,30;80,70;465,00
4971           ;Zolo Black Petit Verdot;GENERICA;21,00;;;49.917,36;10.482,64;60.400,00;49.917,36;10.482,64;60.400,00
VTTI024        ;EL REVENTÓN N? 17;GENERICA;21,00;;;41.322,31;8.677,69;50.000,00;41.322,31;8.677,69;50.000,00
4966           ;Revancha Peon  Malbec;GENERICA;21,00;;;454,55;95,45;550,00;454,55;95,45;550,00
1233           ;Andeluna Altitud Merlot;GENERICA;21,00;;;710,74;149,26;860,00;710,74;149,26;860,00
7711           ;Tomero Cabernet Sauvignon Vistalba;GENERICA;21,00;;;1.586,78;333,22;1.920,00;1.586,78;333,22;1.920,00
7650           ;Zorro y Arena Malbec;GENERICA;21,00;;;644,63;135,37;780,00;644,63;135,37;780,00
4941           ;2 Km Blend;GENERICA;21,00;;;570,25;119,75;690,00;570,25;119,75;690,00
8815           ;Ambrosia Luna Llena;GENERICA;21,00;;;508,26;106,74;615,00;508,26;106,74;615,00
4904           ;Manos Negras Pinot Noir;GENERICA;21,00;;;809,92;170,08;980,00;809,92;170,08;980,00
BAT045         ;Serbal Pinot Noir;GENERICA;21,00;;;11.074,38;2.325,62;13.400,00;11.074,38;2.325,62;13.400,00
4907           ;Tinto Negro Uco Valley Malbec;GENERICA;21,00;;;776,86;163,14;940,00;776,86;163,14;940,00
2826           ;Linda Flor Malbec;GENERICA;21,00;;;512,40;107,60;620,00;512,40;107,60;620,00
3484           ;Los Escasos Cab. Sauv. Alta Vista;GENERICA;21,00;;;18.181,82;3.818,18;22.000,00;18.181,82;3.818,18;22.000,00
4914           ;Manos Negras Quimay;GENERICA;21,00;;;1.239,67;260,33;1.500,00;1.239,67;260,33;1.500,00
11512          ;Silenio Merlot Staphyle;GENERICA;21,00;;;9.504,13;1.995,87;11.500,00;9.504,13;1.995,87;11.500,00
8711           ;Montes Outer Limitis Cinsault;GENERICA;21,00;;;21.487,60;4.512,40;26.000,00;21.487,60;4.512,40;26.000,00
1319           ;Alma Negra by Liniers 3;GENERICA;21,00;;;165,29;34,71;200,00;165,29;34,71;200,00
2499           ;Trumpeter Malbec;GENERICA;21,00;;;276,86;58,14;335,00;276,86;58,14;335,00
7220           ;Bressia Profundo;GENERICA;21,00;;;2.066,12;433,88;2.500,00;2.066,12;433,88;2.500,00
2722           ;Zorzal Eggo Blanc 2020;GENERICA;21,00;;;19.008,26;3.991,74;23.000,00;19.008,26;3.991,74;23.000,00
1004           ;Amalaya Tinto 2009;GENERICA;21,00;;;123,97;26,03;150,00;123,97;26,03;150,00
641            ;Catena Zapata Malbec Argentino;GENERICA;21,00;;;2.314,05;485,95;2.800,00;2.314,05;485,95;2.800,00
117            ;Decero Syrah;GENERICA;21,00;;;30.082,65;6.317,36;36.400,00;30.082,65;6.317,36;36.400,00
DW12           ;Nirvana Cabernet Franc Dharma;GENERICA;21,00;;;37.933,88;7.966,12;45.900,00;37.933,88;7.966,12;45.900,00
103            ;Benegas Cabernet Franc;GENERICA;21,00;;;2.314,05;485,95;2.800,00;2.314,05;485,95;2.800,00
5657           ;Bramare Appelation Lujan Malbec;GENERICA;21,00;;;495,04;103,96;599,00;495,04;103,96;599,00
4025           ;Gran Sombrero Malbec Huentala;GENERICA;21,00;;;19.008,26;3.991,74;23.000,00;19.008,26;3.991,74;23.000,00
7701           ;Vistalba Corte A;GENERICA;21,00;;;;;;;;
4833           ;T. D.  Dioses Mito Cab. Franc G. Riili;GENERICA;21,00;;;54.132,23;11.367,77;65.500,00;54.132,23;11.367,77;65.500,00
12106          ;Chito Homenaje Raboso Los Mateines;GENERICA;21,00;;;8.099,17;1.700,83;9.800,00;8.099,17;1.700,83;9.800,00
9818           ;Gauchezco Estate Pinot Noir;GENERICA;21,00;;;9.338,84;1.961,16;11.300,00;9.338,84;1.961,16;11.300,00
MAS05          ;Mastrantonio 63 Premium Cabernet Franc;GENERICA;21,00;;;20.000,00;4.200,00;24.200,00;20.000,00;4.200,00;24.200,00
7105           ;Tupun Reserva Malbec;GENERICA;21,00;;;371,90;78,10;450,00;371,90;78,10;450,00
2709           ;Pulenta Estate Blend;GENERICA;21,00;;;27.272,73;5.727,27;33.000,00;27.272,73;5.727,27;33.000,00
11310          ;Absurdo Malbec;GENERICA;21,00;;;7.355,37;1.544,63;8.900,00;7.355,37;1.544,63;8.900,00
2523           ;Saurus Merlot;GENERICA;21,00;;;6.738,84;1.415,16;8.154,00;6.738,84;1.415,16;8.154,00
4945           ;Noble Del Sur Malbec;GENERICA;21,00;;;322,31;67,69;390,00;322,31;67,69;390,00
252            ;Achaval Ferrer Malbec;GENERICA;21,00;;;1.900,83;399,17;2.300,00;1.900,83;399,17;2.300,00
5681           ;Riglos Gran Cabernet Sauvignon;GENERICA;21,00;;;24.275,21;5.097,79;29.373,00;24.275,21;5.097,79;29.373,00
2704           ;La Flor Cab. Sauv. Pulenta;GENERICA;21,00;;;13.223,14;2.776,86;16.000,00;13.223,14;2.776,86;16.000,00
1203           ;Argento S. V. Malbec Agrelo;GENERICA;21,00;;;19.834,71;4.165,29;24.000,00;19.834,71;4.165,29;24.000,00
AÑ3413         ;Flecha de Los Andes 2012;GENERICA;21,00;;;;;;;;
4039           ;Huentala Boreal;GENERICA;21,00;;;86.776,86;18.223,14;105.000,00;86.776,86;18.223,14;105.000,00
6911           ;MP Malbec Reserva;GENERICA;21,00;;;111,57;23,43;135,00;111,57;23,43;135,00
4070           ;Martir Cabernet Franc;GENERICA;21,00;;;495,87;104,13;600,00;495,87;104,13;600,00
4200           ;Piedra Negra Gran Reserva Malbec;GENERICA;21,00;;;36.363,64;7.636,36;44.000,00;36.363,64;7.636,36;44.000,00
1513           ;Uxmal 375;GENERICA;21,00;;;15,70;3,30;19,00;15,70;3,30;19,00
6334           ;Lamadrid Gran Reserva Cab Sau;GENERICA;21,00;;;30.495,87;6.404,13;36.900,00;30.495,87;6.404,13;36.900,00
3810           ;Norton Quorum Vi;GENERICA;21,00;;;2.625,62;551,38;3.177,00;2.625,62;551,38;3.177,00
AÑ13081        ;Siesta Syrah 09;GENERICA;21,00;;;6.363,64;1.336,36;7.700,00;6.363,64;1.336,36;7.700,00
160            ;Benegas Sv Sangiovese;GENERICA;21,00;;;3.925,62;824,38;4.750,00;3.925,62;824,38;4.750,00
CA024          ;Caelum Gran Reserva Blend;GENERICA;21,00;;;3.842,98;807,02;4.650,00;3.842,98;807,02;4.650,00
BDC002         ;Nido Del Tigre Alcaparrosa Tinto;GENERICA;21,00;;;14.876,03;3.123,97;18.000,00;14.876,03;3.123,97;18.000,00
3210           ;Callia Magna Syrah;GENERICA;21,00;;;0,83;0,17;1,00;0,83;0,17;1,00
2720           ;Zorzal Eggo 2018;GENERICA;21,00;;;19.008,26;3.991,74;23.000,00;19.008,26;3.991,74;23.000,00
645            ;Dv Nicasia Vineyard;GENERICA;21,00;;;791,74;166,26;958,00;791,74;166,26;958,00
9817           ;Gauchezco Magnun Petit Verdot;GENERICA;21,00;;;41.322,31;8.677,69;50.000,00;41.322,31;8.677,69;50.000,00
6306           ;Lamadrid Malbec;GENERICA;21,00;;;11.404,96;2.395,04;13.800,00;11.404,96;2.395,04;13.800,00
2770           ;De Moño Rojo Syrah;GENERICA;21,00;;;264,46;55,54;320,00;264,46;55,54;320,00
URQ02          ;Palo Santo Cab. Franc Urqo;GENERICA;21,00;;;12.975,21;2.724,79;15.700,00;12.975,21;2.724,79;15.700,00
2767           ;Paula Malbec;GENERICA;21,00;;;5.524,79;1.160,21;6.685,00;5.524,79;1.160,21;6.685,00
6513           ;Pasion 4 Bonarda Joffré;GENERICA;21,00;;;11.818,18;2.481,82;14.300,00;11.818,18;2.481,82;14.300,00
2711           ;Los Cardos Cabernet Sauvignon;GENERICA;21,00;;;95,04;19,96;115,00;95,04;19,96;115,00
8205           ;D. Bousquet Rva Malbec;GENERICA;21,00;;;2.479,34;520,66;3.000,00;2.479,34;520,66;3.000,00
2729           ;Zorzal Gran Terroir Cab Franc;GENERICA;21,00;;;12.396,69;2.603,31;15.000,00;12.396,69;2.603,31;15.000,00
180            ;Alpataco Malbec;GENERICA;21,00;;;256,20;53,80;310,00;256,20;53,80;310,00
11107          ;Isaias Bonarda;GENERICA;21,00;;;247,93;52,07;300,00;247,93;52,07;300,00
YACO104        ;Coquena Cabernet Sauvignon;GENERICA;21,00;;;8.925,62;1.874,38;10.800,00;8.925,62;1.874,38;10.800,00
3709           ;Don Nicanor Cabernet Sauvignon;GENERICA;21,00;;;95,04;19,96;115,00;95,04;19,96;115,00
9165           ;Conejo Negro Blend;GENERICA;21,00;;;7.322,31;1.537,69;8.860,00;7.322,31;1.537,69;8.860,00
8613           ;Urban Malbec;GENERICA;21,00;;;694,22;145,79;840,00;694,22;145,79;840,00
4608           ;Viñas de Narvaez Merlot;GENERICA;21,00;;;123,97;26,03;150,00;123,97;26,03;150,00
1707           ;Estancia Roble Malbec;GENERICA;21,00;;;23,97;5,03;29,00;23,97;5,03;29,00
9911           ;Bo Bó Zorrito Cabernet Sauvignon Trapezio;GENERICA;21,00;;;6.347,11;1.332,89;7.680,00;6.347,11;1.332,89;7.680,00
2911           ;Intimo  Blend;GENERICA;21,00;;;107,44;22,56;130,00;107,44;22,56;130,00
9131           ;Sunal Ilogico Criolla A. Lanús;GENERICA;21,00;;;23.966,94;5.033,06;29.000,00;23.966,94;5.033,06;29.000,00
KAI00          ;Kaiken Ultra Pinot Noir;GENERICA;21,00;;;23.636,36;4.963,64;28.600,00;23.636,36;4.963,64;28.600,00
7645           ;Chañarmuyo Edicion Especial Malbec;GENERICA;21,00;;;677,69;142,31;820,00;677,69;142,31;820,00
9214           ;Ferus Malbec Falasco;GENERICA;21,00;;;9.966,94;2.093,06;12.060,00;9.966,94;2.093,06;12.060,00
7714           ;Tomero Cabernet Franc Vistalba;GENERICA;21,00;;;1.735,54;364,46;2.100,00;1.735,54;364,46;2.100,00
3903           ;Aguma Syrah;GENERICA;21,00;;;51,24;10,76;62,00;51,24;10,76;62,00
5632           ;Cocodrilo 2014;GENERICA;21,00;;;1.487,60;312,40;1.800,00;1.487,60;312,40;1.800,00
11921          ;2456 Cabernet Franc;GENERICA;21,00;;;16.528,93;3.471,07;20.000,00;16.528,93;3.471,07;20.000,00
12053          ;La Chamiza Profesional Cabernet Sauvignon;GENERICA;21,00;;;309,92;65,08;375,00;309,92;65,08;375,00
913            ;Septima Obra Cabernet Sauvignon;GENERICA;21,00;;;219,01;45,99;265,00;219,01;45,99;265,00
9409           ;Carinae Cuvee Philippe;GENERICA;21,00;;;609,92;128,08;738,00;609,92;128,08;738,00
4975           ;Zolo Malbec;GENERICA;21,00;;;11.322,31;2.377,69;13.700,00;11.322,31;2.377,69;13.700,00
4716           ;Casarena Malbec;GENERICA;21,00;;;981,82;206,18;1.188,00;981,82;206,18;1.188,00
2602           ;Gabrielli Cabernet Sauvignon;GENERICA;21,00;;;53,72;11,28;65,00;53,72;11,28;65,00
5605           ;Marchiori Cuartel 2 Malbec;GENERICA;21,00;;;20.991,74;4.408,26;25.400,00;20.991,74;4.408,26;25.400,00
RIG001         ;Quinto Rva Malbec-P. Verdot Riglos;GENERICA;21,00;;;13.636,36;2.863,64;16.500,00;13.636,36;2.863,64;16.500,00
2021           ;Nazareno Malbec Reinero;GENERICA;21,00;;;8.181,82;1.718,18;9.900,00;8.181,82;1.718,18;9.900,00
8221           ;Intuitivo Lujan de Cuyo Malbec;GENERICA;21,00;;;388,43;81,57;470,00;388,43;81,57;470,00
4321           ;Numina Cabernet Franc;GENERICA;21,00;;;628,10;131,90;760,00;628,10;131,90;760,00
210            ;Pagos de Valcerracín;GENERICA;21,00;;;561,98;118,02;680,00;561,98;118,02;680,00
6002           ;Poesia Cuvée Héléne;GENERICA;21,00;;;271,90;57,10;329,00;271,90;57,10;329,00
12032          ;Trivento Eolo Malbec;GENERICA;21,00;;;101.074,38;21.225,62;122.300,00;101.074,38;21.225,62;122.300,00
4614           ;Viñas de Narvaez  Cabernet Sauvigon;GENERICA;21,00;;;123,97;26,03;150,00;123,97;26,03;150,00
SU002          ;Sur de Los Andes Rva Blend;GENERICA;21,00;;;15.289,26;3.210,74;18.500,00;15.289,26;3.210,74;18.500,00
12307          ;Ferraro Wines Reserva Malbec;GENERICA;21,00;;;5.950,41;1.249,59;7.200,00;5.950,41;1.249,59;7.200,00
9133           ;Las Cañitas Blend;GENERICA;21,00;;;13.636,36;2.863,64;16.500,00;13.636,36;2.863,64;16.500,00
1236           ;Pasionado Malbec Andeluna;GENERICA;21,00;;;3.128,10;656,90;3.785,00;3.128,10;656,90;3.785,00
7801           ;Pasacana Integral Blend Dupont;GENERICA;21,00;;;72.727,27;15.272,73;88.000,00;72.727,27;15.272,73;88.000,00
1410           ;F. Gascon Reserva Malbec;GENERICA;21,00;;;409,09;85,91;495,00;409,09;85,91;495,00
4918           ;Tinto Negro Cabernet Franc;GENERICA;21,00;;;842,98;177,02;1.020,00;842,98;177,02;1.020,00
3202           ;Cafayate Cabernet Sauvignon;GENERICA;21,00;;;48,76;10,24;59,00;48,76;10,24;59,00
MR007          ;Aduentus Clasic Blend Antigal;GENERICA;21,00;;;22.975,21;4.824,79;27.800,00;22.975,21;4.824,79;27.800,00
650            ;Saint Felicien Bonarda;GENERICA;21,00;;;2.644,63;555,37;3.200,00;2.644,63;555,37;3.200,00
1804           ;Newen Merlot;GENERICA;21,00;;;23,97;5,03;29,00;23,97;5,03;29,00
8434           ;La Posta Fazzio;GENERICA;21,00;;;537,19;112,81;650,00;537,19;112,81;650,00
7311           ;Reto Pinot Noir;GENERICA;21,00;;;106,61;22,39;129,00;106,61;22,39;129,00
9303           ;Finca Suarez Blend;GENERICA;21,00;;;537,19;112,81;650,00;537,19;112,81;650,00
11503          ;Staphyle Part. Ltda. Blend;GENERICA;21,00;;;1.743,80;366,20;2.110,00;1.743,80;366,20;2.110,00
4960           ;Corazon del Sol Malbec;GENERICA;21,00;;;537,19;112,81;650,00;537,19;112,81;650,00
1206           ;Barrandica Malbec;GENERICA;21,00;;;53,72;11,28;65,00;53,72;11,28;65,00
2414           ;Las Moras Reserva Malbec;GENERICA;21,00;;;68,60;14,40;83,00;68,60;14,40;83,00
1339           ;Mara de Uco Bonarda;GENERICA;21,00;;;10.413,22;2.186,78;12.600,00;10.413,22;2.186,78;12.600,00
1342           ;Mara de Uco Cabernet Franc;GENERICA;21,00;;;10.413,22;2.186,78;12.600,00;10.413,22;2.186,78;12.600,00
D120           ;Finca Decero Mini Ed Cabernet Franc;GENERICA;21,00;;;50.743,80;10.656,20;61.400,00;50.743,80;10.656,20;61.400,00
7074           ;Ique Bonarda Foster;GENERICA;21,00;;;652,89;137,11;790,00;652,89;137,11;790,00
2534           ;Saurus Select Cabernets Franc Sauvignon;GENERICA;21,00;;;9.371,90;1.968,10;11.340,00;9.371,90;1.968,10;11.340,00
4405           ;Tempus Cabernet Sauvignon;GENERICA;21,00;;;743,80;156,20;900,00;743,80;156,20;900,00
6310           ;Aguijon de Abeja Malbec;GENERICA;21,00;;;148,76;31,24;180,00;148,76;31,24;180,00
1007           ;Amalaya Magnun;GENERICA;21,00;;;198,35;41,65;240,00;198,35;41,65;240,00
150            ;Altocedro Cabernet Sauvignon;GENERICA;21,00;;;471,07;98,93;570,00;471,07;98,93;570,00
1705           ;Estancia Varietal Malbec;GENERICA;21,00;;;18,60;3,90;22,50;18,60;3,90;22,50
2721           ;Zorzal Eggo Bonaparte 2017;GENERICA;21,00;;;19.008,26;3.991,74;23.000,00;19.008,26;3.991,74;23.000,00
5003           ;Desierto 25 Malbec;GENERICA;21,00;;;1.528,93;321,07;1.850,00;1.528,93;321,07;1.850,00
7099           ;Lorca Fantasia Criolla;GENERICA;21,00;;;9.814,05;2.060,95;11.875,00;9.814,05;2.060,95;11.875,00
1430           ;Pequeñas Producciones Syrah;GENERICA;21,00;;;6.198,35;1.301,65;7.500,00;6.198,35;1.301,65;7.500,00
7330           ;Vicentin Robusto;GENERICA;21,00;;;446,28;93,72;540,00;446,28;93,72;540,00
4202           ;Piedra Negra Reserva Cabernet Sauvignon;GENERICA;21,00;;;23.140,50;4.859,50;28.000,00;23.140,50;4.859,50;28.000,00
1016           ;Territorio Malbec;GENERICA;21,00;;;55,37;11,63;67,00;55,37;11,63;67,00
12004          ;Lejanamente Juntos Tinto;GENERICA;21,00;;;876,03;183,97;1.060,00;876,03;183,97;1.060,00
4986           ;C.A.T Malbec Las Pintadas;GENERICA;21,00;;;702,48;147,52;850,00;702,48;147,52;850,00
4938           ;Manos Negras Magnun;GENERICA;21,00;;;702,48;147,52;850,00;702,48;147,52;850,00
6519           ;Joffré Gran Merlot;GENERICA;21,00;;;9.752,07;2.047,93;11.800,00;9.752,07;2.047,93;11.800,00
1611           ;Santa Julia Rva Cabernet Sauvignon;GENERICA;21,00;;;34,71;7,29;42,00;34,71;7,29;42,00
1411           ;F. Gascon Reserva Cabernet Sauvignon;GENERICA;21,00;;;81,82;17,18;99,00;81,82;17,18;99,00
1335           ;Stella Crinita Petit Verdot;GENERICA;21,00;;;4.958,68;1.041,32;6.000,00;4.958,68;1.041,32;6.000,00
1212           ;Tercos  Cabernet Sauvignon;GENERICA;21,00;;;61,98;13,02;75,00;61,98;13,02;75,00
12052          ;La Chamiza Profesional Malbec;GENERICA;21,00;;;309,92;65,08;375,00;309,92;65,08;375,00
SU005          ;Sur de Los Andes Rva Malbec;GENERICA;21,00;;;15.289,26;3.210,74;18.500,00;15.289,26;3.210,74;18.500,00
1402           ;Escorihuela Malbec;GENERICA;21,00;;;582,65;122,36;705,00;582,65;122,36;705,00
6311           ;Aguijon de Abeja Cabernet Sauvignon;GENERICA;21,00;;;148,76;31,24;180,00;148,76;31,24;180,00
315            ;Atilio Avena Finca V.;GENERICA;21,00;;;44,63;9,37;54,00;44,63;9,37;54,00
815            ;Chakana Nuna Bonarda;GENERICA;21,00;;;517,36;108,64;626,00;517,36;108,64;626,00
1012           ;Colome Lote Especial Tannat;GENERICA;21,00;;;280,99;59,01;340,00;280,99;59,01;340,00
2025           ;Finca Flichman Reserva Cab Franc;GENERICA;21,00;;;8.264,46;1.735,54;10.000,00;8.264,46;1.735,54;10.000,00
2827           ;Val de Fores Malbec;GENERICA;21,00;;;685,95;144,05;830,00;685,95;144,05;830,00
6510           ;Pasion 4 Malbec Joffré;GENERICA;21,00;;;11.818,18;2.481,82;14.300,00;11.818,18;2.481,82;14.300,00
2787           ;Pulenta Estate Pinot Noir;GENERICA;21,00;;;27.272,73;5.727,27;33.000,00;27.272,73;5.727,27;33.000,00
11009          ;Domingo Molina Tannat;GENERICA;21,00;;;6.611,57;1.388,43;8.000,00;6.611,57;1.388,43;8.000,00
4011           ;Huentala Hotel Cabernet Sauvignon;GENERICA;21,00;;;280,99;59,01;340,00;280,99;59,01;340,00
D118           ;Finca Decero Ode Malbec;GENERICA;21,00;;;21.652,89;4.547,11;26.200,00;21.652,89;4.547,11;26.200,00
1218           ;45° Rugientes Pinot Noir Otronia;GENERICA;21,00;;;14.648,76;3.076,24;17.725,00;14.648,76;3.076,24;17.725,00
5005           ;Desierto Pampa;GENERICA;21,00;;;1.181,82;248,18;1.430,00;1.181,82;248,18;1.430,00
7805           ;Franc Dupont;GENERICA;21,00;;;33.057,85;6.942,15;40.000,00;33.057,85;6.942,15;40.000,00
6806           ;Taymente Cab. Sauvignon Huarpe;GENERICA;21,00;;;10.710,74;2.249,26;12.960,00;10.710,74;2.249,26;12.960,00
2601           ;Francesco;GENERICA;21,00;;;119,84;25,17;145,00;119,84;25,17;145,00
5208           ;Latente Cab. Franc Cuarto Surco;GENERICA;21,00;;;11.487,60;2.412,40;13.900,00;11.487,60;2.412,40;13.900,00
5667           ;Trivento Golden Rva Cabernet Sauvignon;GENERICA;21,00;;;15.289,26;3.210,74;18.500,00;15.289,26;3.210,74;18.500,00
12102          ;Belico Blend Los Maitenes;GENERICA;21,00;;;19.008,26;3.991,74;23.000,00;19.008,26;3.991,74;23.000,00
AÑ49131        ;Manos Negras Red Soil Pinot 2010;GENERICA;21,00;;;1.396,69;293,31;1.690,00;1.396,69;293,31;1.690,00
5634           ;Marchiori & Barraud Cuartel 2 Cabernet Sauvignon;GENERICA;21,00;;;20.991,74;4.408,26;25.400,00;20.991,74;4.408,26;25.400,00
156            ;Abras Malbec;GENERICA;21,00;;;190,08;39,92;230,00;190,08;39,92;230,00
2909           ;Intimo Cabernet Sauvignon;GENERICA;21,00;;;4.008,26;841,74;4.850,00;4.008,26;841,74;4.850,00
7319           ;Dorado Cabernet Franc;GENERICA;21,00;;;197,52;41,48;239,00;197,52;41,48;239,00
3001           ;Altas Cumbres  Malbec;GENERICA;21,00;;;280,99;59,01;340,00;280,99;59,01;340,00
1336           ;Alma Negra Blend 500 Cc;GENERICA;21,00;;;7.107,44;1.492,56;8.600,00;7.107,44;1.492,56;8.600,00
9135           ;Las Cañitas Jc Navarro Torre Malbec;GENERICA;21,00;;;27.933,88;5.866,12;33.800,00;27.933,88;5.866,12;33.800,00
7006           ;Ruca Malen Cabernet Sauvignon;GENERICA;21,00;;;113,22;23,78;137,00;113,22;23,78;137,00
2748           ;Tapiz Las Notas de J.C.;GENERICA;21,00;;;90.909,09;19.090,91;110.000,00;90.909,09;19.090,91;110.000,00
8451           ;Blason d´Ausseres Corbieres;GENERICA;21,00;;;756,20;158,80;915,00;756,20;158,80;915,00
1017           ;Territorio Cabernet Sauvignon;GENERICA;21,00;;;55,37;11,63;67,00;55,37;11,63;67,00
1317           ;Tikal Patriota Mal-Bon;GENERICA;21,00;;;19.008,26;3.991,74;23.000,00;19.008,26;3.991,74;23.000,00
4742           ;505 Bag in Box Malbec;GENERICA;21,00;;;508,26;106,74;615,00;508,26;106,74;615,00
8435           ;La Posta Paulucci;GENERICA;21,00;;;537,19;112,81;650,00;537,19;112,81;650,00
AÑ4903         ;El Joven Equilibrista 2012;GENERICA;21,00;;;1.256,20;263,80;1.520,00;1.256,20;263,80;1.520,00
4901           ;El Gran Equilibrista;GENERICA;21,00;;;219,01;45,99;265,00;219,01;45,99;265,00
SU006          ;Sur de Los Andes Rva Pinot Noir;GENERICA;21,00;;;17.768,60;3.731,40;21.500,00;17.768,60;3.731,40;21.500,00
2810           ;Diamandina Malbec;GENERICA;21,00;;;165,29;34,71;200,00;165,29;34,71;200,00
1334           ;Stella Crinita Barbera;GENERICA;21,00;;;4.752,07;997,93;5.750,00;4.752,07;997,93;5.750,00
5514           ;A Corazon Abierto Noir Malbec;GENERICA;21,00;;;22.809,92;4.790,08;27.600,00;22.809,92;4.790,08;27.600,00
1225           ;Tercos Bonarda;GENERICA;21,00;;;61,98;13,02;75,00;61,98;13,02;75,00
301            ;Avena Araucal Blend;GENERICA;21,00;;;0,83;0,17;1,00;0,83;0,17;1,00
6336           ;Durigutti Reserva Malbec;GENERICA;21,00;;;27.768,60;5.831,40;33.600,00;27.768,60;5.831,40;33.600,00
5623           ;Crios Malbec Susana Balbo;GENERICA;21,00;;;10.322,31;2.167,69;12.490,00;10.322,31;2.167,69;12.490,00
5661           ;Felino Cabernet Sauvignon;GENERICA;21,00;;;355,37;74,63;430,00;355,37;74,63;430,00
2008           ;Gran Caballero Malbec;GENERICA;21,00;;;330,58;69,42;400,00;330,58;69,42;400,00
9160           ;Bonomo Montiel Malbec;GENERICA;21,00;;;2.892,56;607,44;3.500,00;2.892,56;607,44;3.500,00
2738           ;Tapiz Alta Collection Malbec;GENERICA;21,00;;;17.190,08;3.609,92;20.800,00;17.190,08;3.609,92;20.800,00
12105          ;Conciliador Mal - Franc Los Maitenes;GENERICA;21,00;;;4.876,03;1.023,97;5.900,00;4.876,03;1.023,97;5.900,00
AÑ3475         ;Alta Vista Serenade 2012;GENERICA;21,00;;;2.727,27;572,73;3.300,00;2.727,27;572,73;3.300,00
6344           ;Collovati Corbeau Noir;GENERICA;21,00;;;16.657,03;3.497,98;20.155,00;16.657,03;3.497,98;20.155,00
2460           ;Don David Reserva Malbec;GENERICA;21,00;;;90,91;19,09;110,00;90,91;19,09;110,00
5902           ;Nahuel Martinez Cabernet Sauvignon;GENERICA;21,00;;;18,18;3,82;22,00;18,18;3,82;22,00
7306           ;Arrogante Malbec;GENERICA;21,00;;;379,34;79,66;459,00;379,34;79,66;459,00
8304           ;Doña Ascensión Blend;GENERICA;21,00;;;570,25;119,75;690,00;570,25;119,75;690,00
