Id. Interno;Act;Syn;Código;Descripción;Medida;U. Venta;Color;I.V.A.;Non.;Prec. Final;Cal.;MxC ;Agr.;Cod.Art.Prov;Grupo;Línea;Marca;Coleccion;Proveedor;U. Compra;P. Lista;Costo Fin;Pei;Emb.;CxPall.;MxPall.;Cod. Barra;Observacion
1281101;1;;4990           ;Teho Malbec;;Generica;;IVA 21%;$   ;13.060,00;;0,000;;;Vino Tinto;Malbec;;;El Garage de Aldo S.R.L - El Garage de Aldo ;;0,000;5000,000;;;0;0,000;852282002896;;
1133601;1;;6304           ;Lamadrid Reserva Cabernet Franc;;Generica;;IVA 21%;$   ;19.800,00;;0,000;;;Vino Tinto;Cabernet Franc;;;Montana Consultores S.R.L. - ;;2190,083;1750,000;;;0;0,000;852282002780;;
1104701;1;;4905           ;Manos Negras Malbec;;Generica;;IVA 21%;$   ;925,00;;0,000;;;Vino Tinto;Malbec;;;El Garage de Aldo S.R.L - El Garage de Aldo ;;241,735;462,500;;;0;0,000;852282002711;;
1242301;1;;4904           ;Manos Negras Pinot Noir;;Generica;;IVA 21%;$   ;980,00;;0,000;;;Vino Tinto;Pinot Noir;;;El Garage de Aldo S.R.L - El Garage de Aldo ;;0,000;490,000;;;0;0,000;852282002360;;
1163001;1;;4915           ;Manos Negra Atrevida;;Generica;;IVA 21%;$   ;1.500,00;;0,000;;;Vino Tinto;Blend;;;El Garage de Aldo S.R.L - El Garage de Aldo ;;0,000;750,000;;;0;0,000;852282002353;;
1155901;1;;6308           ;Lamadrid Bonarda;;Generica;;IVA 21%;$   ;13.800,00;;0,000;;;Vino Tinto;Bonarda;;;Montana Consultores S.R.L. - ;;812,810;1360,000;;;0;0,000;852282002308;;
1155201;1;;6306           ;Lamadrid Malbec;;Generica;;IVA 21%;$   ;13.800,00;;0,000;;;Vino Tinto;Malbec;;;Montana Consultores S.R.L. - ;;1680,578;1360,000;;;0;0,000;852282002292;;
1155301;1;;6307           ;Lamadrid Cabernet Sauvignon;;Generica;;IVA 21%;$   ;13.800,00;;0,000;;;Vino Tinto;Cabernet Sauvignon;;;Montana Consultores S.R.L. - ;;812,810;1360,000;;;0;0,000;852282002285;;
1133301;1;;6301           ;Lamadrid Gran Reserva Malbec;;Generica;;IVA 21%;$   ;36.900,00;;0,000;;;Vino Tinto;Malbec;;;Montana Consultores S.R.L. - ;;3582,645;3000,000;;;0;0,000;852282002094;;
1133701;1;;6305           ;Lamadrid Reserva Bonarda;;Generica;;IVA 21%;$   ;19.800,00;;0,000;;;Vino Tinto;Bonarda;;;Montana Consultores S.R.L. - ;;876,860;1750,000;;;0;0,000;852282002087;;
1133401;1;;6302           ;Lamadrid Reserva Malbec;;Generica;;IVA 21%;$   ;19.800,00;;0,000;;;Vino Tinto;Malbec;;;Montana Consultores S.R.L. - ;;2410,743;1750,000;;;0;0,000;852282002063;;
10810;1;;10810          ;Havana Dorado;;Generica;;IVA 21%;$   ;16.500,00;;0,000;;;Destilados;Ron;;;Distribución y Profesionalismo S.A. - Distribuidora Integral ;;2198,526;2600,000;;;0;0,000;8501110080910;;
10811;1;;10811          ;Havana 7 Anos;;Generica;;IVA 21%;$   ;3.970,00;;0,000;;;Destilados;Ron;;;Distribución y Profesionalismo S.A. - Distribuidora Integral ;;0,000;2740,000;;;0;0,000;8501110080446;;
1098801;1;;10826          ;Havana 3 Años Litro;;Generica;;IVA 21%;$   ;170,01;;0,000;;;Destilados;Ron;;;Distribución y Profesionalismo S.A. - Distribuidora Integral ;;0,000;0,000;;;0;0,000;8501110080255;;
10809;1;;10809          ;Havana  3 Años 750 Cc;;Generica;;IVA 21%;$   ;12.900,00;;0,000;;;Destilados;Ron;;;Distribución y Profesionalismo S.A. - Distribuidora Integral ;;2058,677;2600,000;;;0;0,000;8501110080248;;
1160401;1;;17             ;Ron Mulata Palma Superior;;Generica;;IVA 21%;$   ;95,00;;0,000;;;Destilados;Ron;;;;;0,000;0,000;;;0;0,000;8500000654743;;
1130601;1;;16             ;Ron Mulata Silver Dry;;Generica;;IVA 21%;$   ;95,00;;0,000;;;Destilados;Ron;;;;;0,000;0,000;;;0;0,000;8500000650349;;
1246001;1;;8752           ;Yzaguirre Reserva ;;Generica;;IVA 21%;$   ;54.000,00;;0,000;;;Aperitivos;Aperitivos;;;Ley Seca S.A. - LEY SECA S.A. ;;3545,455;4500,000;;;0;0,000;8425327100165;;
1245901;1;;8751           ;Yzaguirre Blanco;;Generica;;IVA 21%;$   ;38.500,00;;0,000;;;Aperitivos;Aperitivos;;;Ley Seca S.A. - LEY SECA S.A. ;;3136,364;3500,000;;;0;0,000;8425327100141;;
1241801;1;;8750           ;Yzaguirre Rojo;;Generica;;IVA 21%;$   ;38.500,00;;0,000;;;Aperitivos;Aperitivos;;;Ley Seca S.A. - LEY SECA S.A. ;;4611,570;3500,000;;;0;0,000;8425327100127;;
10401;1;;10401          ;Estrella Galicia Bot;;Generica;;IVA 21%;$   ;12,50;;0,000;;;Cervezas;Importadas;;;Cerveza Galicia - Cerveza Galicia ;;9,000;0,000;;;0;0,000;8412598074219;;
10402;1;;10402          ;Estuche Estrella Galicia + Copa;;Generica;;IVA 21%;$   ;110,00;;0,000;;;Cervezas;Importadas;;;Cerveza Galicia - Cerveza Galicia ;;75,000;0,000;;;0;0,000;8412598029806;;
10405;1;;10405          ;Estrella Galicia Lata;;Generica;;IVA 21%;$   ;12,00;;0,000;;;Cervezas;Importadas;;;Cerveza Galicia - Cerveza Galicia ;;6,940;5,600;;;0;0,000;8412598000348;;
1175401;1;;10901          ;Gin Mare;;Generica;;IVA 21%;$   ;72.100,00;;0,000;;;Destilados;Gin;;;Dellepiane - ;;0,000;23416,800;;;0;0,000;8411640000459;;
1098601;1;;10409          ;Estrella Damm;;Generica;;IVA 21%;$   ;19,00;;0,000;;;Cervezas;Importadas;;;Cerveza Galicia - Cerveza Galicia ;;137,000;0,000;;;0;0,000;8410793282934;;
1098701;1;;10410          ;Voll Damm;;Generica;;IVA 21%;$   ;25,00;;0,000;;;Cervezas;Importadas;;;Cerveza Galicia - Cerveza Galicia ;;16,100;0,000;;;0;0,000;8410793032935;;
1212701;1;;7902           ;Freixenet 200 Cc;;Generica;;IVA 21%;$   ;400,00;;0,000;;;Vino Espumoso;Extra Brut;;;Freixenet Argentina S.A. - ;;0,000;0,000;;;0;0,000;8410036009496;;
1212601;1;;7901           ;Freixenet Cordon Negro;;Generica;;IVA 21%;$   ;670,00;;0,000;;;Vino Espumoso;Extra Brut;;;Freixenet Argentina S.A. - ;;0,000;0,000;;;0;0,000;8410036009090;;
2000101;1;;8758           ;Gin Mom Royal Rocks Purity;;Generica;;IVA 21%;$   ;105.000,00;;0,000;;;Destilados;Gin;;;Ley Seca S.A. - LEY SECA S.A. ;;1269,230;9000,000;;;0;0,000;8410023096850;;
2000201;1;;8759           ;The London N° 1 Sherry Cask Gin;;Generica;;IVA 21%;$   ;155.000,00;;0,000;;;Destilados;Gin;;;Ley Seca S.A. - LEY SECA S.A. ;;3769,230;25000,000;;;0;0,000;8410023095570;;
1267601;1;;8754           ;Gin Mom Royal Smoothnes;;Generica;;IVA 21%;$   ;105.000,00;;0,000;;;Destilados;Gin;;;Ley Seca S.A. - LEY SECA S.A. ;;1730,770;10000,000;;;0;0,000;8410023032230;;
1305401;1;;8760           ;Beronia Viura;;Generica;;IVA 21%;$   ;3.200,00;;0,000;;;Vino Blanco;Blend;;;;;0,000;2000,000;;;0;0,000;8410023000284;;
1181001;1;;941            ;Anna Codorníu;;Generica;;IVA 21%;$   ;240,00;;0,000;;;Vino Espumoso;Extra Brut;;;Codorniu S.A. - Codorniu S.A. ;;0,000;144,000;;;0;0,000;8410013009761;;
1191701;1;;1317           ;Tikal Patriota Mal-Bon;;Generica;;IVA 21%;$   ;22.999,99;;0,000;;;Vino Tinto;Blend;;;Nakbe S.A. - Ernesto Catena ;;0,000;3500,000;;;0;0,000;835603001174;;
1103;1;;1103           ;Chento Malbec Cuarto Dominio;;Generica;;IVA 21%;$   ;97.000,00;;0,000;;;Vino Tinto;Malbec;;;Ñuke Mapu S.R.L. - Ñuke ;;367,770;1750,000;;;0;0,000;814876010090;;
1106;1;;1106           ;Tolentino Pinot Gris Cuarto Dominio;;Generica;;IVA 21%;$   ;2.700,01;;0,000;;;Vino Blanco;Pinot Grigio;;;Ñuke Mapu S.R.L. - Ñuke ;;0,000;1350,000;;;0;0,000;814876010069;;
1104;1;;1104           ;Tolentino Malbec Cuarto Dominio;;Generica;;IVA 21%;$   ;18.200,00;;0,000;;;Vino Tinto;Malbec;;;Cordon del Plata Distribuciones S.R.L. - ;;1115,702;1350,000;;;0;0,000;8148760100522;;
1108;1;;1108           ;Lote 44 Malbec Cuarto Dominio;;Generica;;IVA 21%;$   ;16.000,00;;0,000;;;Vino Tinto;Malbec;;;Cordon del Plata Distribuciones S.R.L. - ;;888,430;1125,000;;;0;0,000;814876010014;;
1134101;1;;6313           ;Aguijon de Abeja Chardonnay-Semillon;;Generica;;IVA 21%;$   ;115,00;;0,000;;;Vino Blanco;Blend;;;Montana Consultores S.R.L. - ;;0,000;43,630;;;0;0,000;814181010037;;
1178301;1;;6331           ;Durigutti Hd Rva Malbec;;Generica;;IVA 21%;$   ;36.600,00;;0,000;;;Vino Tinto;Malbec;;;Montana Consultores S.R.L. - ;;1173,554;2380,000;;;0;0,000;814181010020;;
1150301;1;;6332           ;Durigutti Hd Malbec;;Generica;;IVA 21%;$   ;25.680,00;;0,000;;;Vino Tinto;Malbec;;;Montana Consultores S.R.L. - ;;2380,165;1590,000;;;0;0,000;814181010013;;
1253101;1;;9104           ;Bad Brother Mataca A. Lanús;;Generica;;IVA 21%;$   ;20.300,00;;0,000;;;Vino Tinto;Blend;;;Guido Bilotta - Selectos de Baco ;;279,340;2000,000;;;0;0,000;813198207263;;
1133501;1;;6303           ;Lamadrid Reserva Cabernet Sauvignon;;Generica;;IVA 21%;$   ;19.800,00;;0,000;;;Vino Tinto;Cabernet Sauvignon;;;Montana Consultores S.R.L. - ;;2410,744;1750,000;;;0;0,000;810499010110;;
1164401;1;;6309           ;Matilde Lamadrid;;Generica;;IVA 21%;$   ;78.900,00;;0,000;;;Vino Tinto;Malbec;;;Montana Consultores S.R.L. - ;;0,000;7100,000;;;0;0,000;810499010011;;
1277401;1;;P0001          ;Barilla Spaghetti 500 Grs;;Generica;;IVA 21%;$   ;325,01;;0,000;;;Generico;Generico;;;Gestión Morris S.R.L - ;;145,700;110,240;;;0;0,000;8076800195057;;
10511;1;;10511          ;Pampero Blanco;;Generica;;IVA 21%;$   ;72,00;;0,000;;;Destilados;Ron;;;Dismet Sur S.A. - Dismet ;;0,000;0,000;;;0;0,000;8028286000202;;
1153201;1;;2517           ;Liquore Strega;;Generica;;IVA 21%;$   ;760,00;;0,000;;;Licores;Licores;;;Bouchee Bebidas S.R.L. - Bouchee ;;0,000;578,000;;;0;0,000;80220718;;
1116101;1;;12             ;Caña Legui;;Generica;;IVA 21%;$   ;1.100,00;;0,000;;;Generosos;Generosos;;;Distritino Mdq S.A - Black ;;0,000;840,000;;;0;0,000;8008513064016;;
1243801;1;;10893          ;Grappa Del Contadino;;Generica;;IVA 21%;$   ;560,00;;0,000;;;Destilados;Whiskies;;;Bouchee Bebidas S.R.L. - Bouchee ;;0,000;368,000;;;0;0,000;8006063003974;;
1243601;1;;10899          ;Napoleón Brandy;;Generica;;IVA 21%;$   ;590,00;;0,000;;;Destilados;Whiskies;;;Bouchee Bebidas S.R.L. - Bouchee ;;0,000;392,000;;;0;0,000;8006063000102;;
1243701;1;;10894          ;Grappepe;;Generica;;IVA 21%;$   ;880,00;;0,000;;;Destilados;Whiskies;;;Bouchee Bebidas S.R.L. - Bouchee ;;0,000;590,000;;;0;0,000;8004499050869;;
1309001;1;;10886          ;Sambucca Borghetti;;Generica;;IVA 21%;$   ;1.530,00;;0,000;;;Licores;Licores;;;DANODIS S.A. - ;;0,000;1172,250;;;0;0,000;8004400070375;;
1231801;1;;10887          ;Frangelico Liqueur;;Generica;;IVA 21%;$   ;34.050,01;;0,000;;;Licores;Licores;;;Bouchee Bebidas S.R.L. - Bouchee ;;2342,980;4490,000;;;0;0,000;8004160660304;;
10208;1;;10208          ;Capizzano;;Generica;;IVA 21%;$   ;37,50;;0,000;;;Aperitivos;Aperitivos;;;Bouchee Bebidas S.R.L. - Bouchee ;;0,000;0,000;;;0;0,000;8004160152182;;
1328401;1;;TON6           ;San Pellegrino Acqua Tonica Lata;;Generica;;IVA 21%;$   ;5.950,01;;0,000;;;Generico;Generico;;;Ley Seca S.A. - LEY SECA S.A. ;;311,570;500,000;;;0;0,000;8002270916588;;
1141201;1;;1314           ;Masi Passo Doble Malbec Corvina;;Generica;;IVA 21%;$   ;150,00;;0,000;;;Vino Tinto;Blend;;;Carlos Omar Reggiardo - Luigi Bosca ;;0,000;71,500;;;0;0,000;8002062001607;;
1103501;1;;10117          ;Blue Moon;;Generica;;IVA 21%;$   ;1.200,01;;0,000;;;Cervezas;Importadas;;;Alta Distribucion S.A. - Alta Distribucion ;;11,330;500,000;;;0;0,000;8001435310018;;
1161501;1;;7052           ;Disaronno;;Generica;;IVA 21%;$   ;43.300,00;;0,000;;;Licores;Licores;;;Bodega Tres Blasones S.A. - ;;0,000;248,070;;;0;0,000;8001110004003;;
10210;1;;10210          ;Martini Bitter;;Generica;;IVA 21%;$   ;160,00;;0,000;;;Aperitivos;Aperitivos;;;Bouchee Bebidas S.R.L. - Bouchee ;;0,000;0,000;;;0;0,000;8000570006046;;
1312801;1;;F05            ;Ferrero X 24;;Generica;;IVA 21%;$   ;1.650,00;;0,000;;;Generico;Generico;;;;;0,000;850,000;;;0;0,000;8000500009673;;
1241001;1;;10025          ;Amaro Averna;;Generica;;IVA 21%;$   ;37.900,00;;0,000;;;Aperitivos;Aperitivos;;;Bouchee Bebidas S.R.L. - Bouchee ;;1157,025;3925,000;;;0;0,000;8000400203782;;
1325101;1;;10907          ;Luxardo Grappa;;Generica;;IVA 21%;$   ;11.600,00;;0,000;;;Destilados;Cachaca;;;Dellepiane - ;;0,000;7000,000;;;0;0,000;8000353006232;;
1175801;1;;10903          ;Luxardo Triple Sec;;Generica;;IVA 21%;$   ;10.800,00;;0,000;;;Licores;Licores;;;Dellepiane - ;;0,000;2714,182;;;0;0,000;8000353005112;;
1247401;1;;10906          ;Luxardo Angioletto;;Generica;;IVA 21%;$   ;60.000,00;;0,000;;;Licores;Licores;;;Dellepiane - ;;0,000;6000,000;;;0;0,000;8000353003217;;
1250301;1;;10021          ;Cinzano 1757 Bianco;;Generica;;IVA 21%;$   ;1.500,00;;0,000;;;Aperitivos;Aperitivos;;;Bouchee Bebidas S.R.L. - Bouchee ;;0,000;820,000;;;0;0,000;8000020175766;;
3602;1;;3602           ;Familia Furlotti Aldagisa;;Generica;;IVA 21%;$   ;800,00;;0,000;;;Vino Tinto;Malbec;;;Bodega Furlotti S.A. - Furlotti ;;256,198;400,000;;;0;0,000;8;;
2017201;1;;48             ;Flor de Manzano Champenoise;;Generica;;IVA 21%;$   ;1.300,00;;0,000;;;Vino Sidra;Sidra;;;;;0,000;833,000;;;0;0,000;798190188164;;
2017101;1;;49             ;Flor de Manzano Demi Sec 710;;Generica;;IVA 21%;$   ;5.900,00;;0,000;;;Vino Sidra;Sidra;;;;;0,000;700,000;;;0;0,000;798190182742;;
1331201;1;;9107           ;Aguayo Malbec A. Lanús;;Generica;;IVA 21%;$   ;63.900,00;;0,000;;;Vino Tinto;Malbec;;;Guido Bilotta - Selectos de Baco ;;0,000;6350,000;;;0;0,000;798190152691;;
1309601;1;;9102           ;Bad Brother Facón Tannat A. Lanús;;Generica;;IVA 21%;$   ;53.800,00;;0,000;;;Vino Tinto;Tannat;;;Guido Bilotta - Selectos de Baco ;;1487,603;5335,000;;;0;0,000;798190101187;;
1352601;1;;9132           ;Sunal Salvaje Pucará Malbec A. Lanús;;Generica;;IVA 21%;$   ;38.700,00;;0,000;;;Vino Tinto;Malbec;;;Guido Bilotta - Selectos de Baco ;;0,000;4000,000;;;0;0,000;798190101149;;
1309801;1;;9106           ;Bad Brother Facón Cab. Franc A. Lanús;;Generica;;IVA 21%;$   ;53.800,00;;0,000;;;Vino Tinto;Cabernet Franc;;;Guido Bilotta - Selectos de Baco ;;1487,603;5335,000;;;0;0,000;798190101132;;
1312201;1;;F02            ;Ferrero X 4;;Generica;;IVA 21%;$   ;270,00;;0,000;;;Generico;Generico;;;;;0,000;114,720;;;0;0,000;7898024397861;;
1312501;1;;F04            ;Ferrero X 12;;Generica;;IVA 21%;$   ;780,00;;0,000;;;Generico;Generico;;;;;0,000;425,000;;;0;0,000;7898024396994;;
1323201;1;;NUT01          ;Nutella 140 Gr;;Generica;;IVA 21%;$   ;190,01;;0,000;;;Generico;Generico;;;;;0,000;133,500;;;0;0,000;7898024395232;;
1323301;1;;NUT02          ;Nutella 350 Gr.;;Generica;;IVA 21%;$   ;400,00;;0,000;;;Generico;Generico;;;;;0,000;275,000;;;0;0,000;7898024394181;;
1326101;1;;F06            ;Ferrero X16;;Generica;;IVA 21%;$   ;980,00;;0,000;;;Generico;Generico;;;;;0,000;550,000;;;0;0,000;7898024390107;;
1094901;1;;61             ;Velho Barreiro;;Generica;;IVA 21%;$   ;11.200,00;;0,000;;;Destilados;Cachaca;;;Bodega Tres Blasones S.A. - ;;0,000;1800,000;;;0;0,000;7896050200131;;
1239401;1;;10232          ;Sky Infusions ;;Generica;;IVA 21%;$   ;610,00;;0,000;;;Destilados;Vodka;;;Bouchee Bebidas S.R.L. - Bouchee ;;0,000;425,000;;;0;0,000;7896010004526;;
1163101;1;;10229          ;Cachaca 51;;Generica;;IVA 21%;$   ;135,00;;0,000;;;Destilados;Ron;;;;;0,000;0,000;;;0;0,000;7896002108133;;
1097201;1;;10009          ;Aperol;;Generica;;IVA 21%;$   ;6.800,01;;0,000;;;Aperitivos;Aperitivos;;;Bouchee Bebidas S.R.L. - Bouchee ;;1148,760;2275,000;;;0;0,000;7891136057029;;
10002;1;;10002          ;Campari;;Generica;;IVA 21%;$   ;8.900,00;;0,000;;;Aperitivos;Aperitivos;;;Bouchee Bebidas S.R.L. - Bouchee ;;1099,174;1746,000;;;0;0,000;7891136052000;;
1325801;1;;10859          ;Malibu;;Generica;;IVA 21%;$   ;1.200,01;;0,000;;;Licores;Licores;;;Distribución y Profesionalismo S.A. - Distribuidora Integral ;;0,000;705,000;;;0;0,000;7891050004741;;
1312101;1;;F01            ;Ferrero X 3;;Generica;;IVA 21%;$   ;160,00;;0,000;;;Generico;Generico;;;;;0,000;68,160;;;0;0,000;78909434;;
1312401;1;;F03            ;Ferrero X 8;;Generica;;IVA 21%;$   ;530,00;;0,000;;;Generico;Generico;;;;;0,000;222,230;;;0;0,000;7861002900117;;
1100801;1;;3440           ;Kaiken Ultra Malbec;;Generica;;IVA 21%;$   ;28.600,00;;0,000;;;Vino Tinto;Malbec;;;Ley Seca S.A. - LEY SECA S.A. ;;2280,992;2250,000;;;0;0,000;7804303555037;;
1100701;1;;3439           ;Kaiken Ultra Cabernet Sauvignon;;Generica;;IVA 21%;$   ;28.600,00;;0,000;;;Vino Tinto;Cabernet Sauvignon;;;Ley Seca S.A. - LEY SECA S.A. ;;557,850;2750,000;;;0;0,000;7804303555020;;
3419;1;;3419           ;Kaiken Malbec;;Generica;;IVA 21%;$   ;15.600,00;;0,000;;;Vino Tinto;Malbec;;;Ley Seca S.A. - LEY SECA S.A. ;;628,100;1250,000;;;0;0,000;7804303555013;;
3418;1;;3418           ;Kaiken Cabernet Sauvignon;;Generica;;IVA 21%;$   ;15.600,00;;0,000;;;Vino Tinto;Cabernet Sauvignon;;;Ley Seca S.A. - LEY SECA S.A. ;;1305,785;1250,000;;;0;0,000;7804303555006;;
2014301;1;;3500           ;Kaiken Disobedience;;Generica;;IVA 21%;$   ;36.200,01;;0,000;;;Vino Tinto;Blend;;;Ley Seca S.A. - LEY SECA S.A. ;;2710,744;3250,000;;;0;0,000;7804303002524;;
2001801;1;;3417           ;Indomito Cabernet Franc Kaiken;;Generica;;IVA 21%;$   ;15.600,00;;0,000;;;Vino Tinto;Cabernet Franc;;;Ley Seca S.A. - LEY SECA S.A. ;;1619,835;2000,000;;;0;0,000;7804303002463;;
2001701;1;;3416           ;Indomito Blend Kaiken;;Generica;;IVA 21%;$   ;15.600,00;;0,000;;;Vino Tinto;Blend;;;Ley Seca S.A. - LEY SECA S.A. ;;1289,256;2000,000;;;0;0,000;7804303002456;;
1345801;1;;AVE02          ;Kaiken Aventura Malbec Valle de Canota;;Generica;;IVA 21%;$   ;41.300,00;;0,000;;;Vino Tinto;Malbec;;;Ley Seca S.A. - LEY SECA S.A. ;;4661,157;3750,000;;;0;0,000;7804303002302;;
1345601;1;;AVE00          ;Kaiken Aventura Malbec Los Chacayes Sur;;Generica;;IVA 21%;$   ;41.300,00;;0,000;;;Vino Tinto;Malbec;;;Ley Seca S.A. - LEY SECA S.A. ;;4661,157;3750,000;;;0;0,000;7804303002296;;
